,Date,Open,Adj Close,Predicted_Label
207,2020-10-06,141.26333618164062,137.9933319091797,0
168,2020-10-07,139.9566650390625,141.76666259765625,1
145,2020-10-20,143.9166717529297,140.64666748046875,0
3,2020-10-22,147.30667114257812,141.92999267578125,0
11,2020-10-26,137.2100067138672,140.0933380126953,1
175,2020-10-30,135.63333129882812,129.34666442871094,0
230,2020-11-03,136.57666015625,141.3000030517578,1
74,2020-11-06,145.36666870117188,143.31666564941406,0
195,2020-11-11,138.81666564941406,139.0433349609375,1
21,2020-11-18,149.4499969482422,162.2133331298828,1
94,2020-11-24,180.13333129882812,185.1266632080078,1
19,2020-12-01,199.19667053222656,194.9199981689453,0
224,2020-12-04,197.0033264160156,199.67999267578125,1
200,2020-12-15,214.4266662597656,211.0833282470703,0
92,2021-01-11,283.1333312988281,270.39666748046875,0
4,2021-01-21,285.0,281.663330078125,0
15,2021-01-27,290.1166687011719,288.0533447265625,0
54,2021-01-29,276.6666564941406,264.510009765625,0
85,2021-02-02,281.5599975585937,290.92999267578125,1
18,2021-02-04,285.0,283.3299865722656,0
151,2021-02-11,270.8133239746094,270.5533447265625,0
31,2021-02-17,259.6966552734375,266.04998779296875,1
217,2021-02-19,265.0,260.4333190917969,0
143,2021-02-26,233.3333282470703,225.1666717529297,0
89,2021-03-11,233.13333129882807,233.1999969482422,1
193,2021-03-23,225.2566680908203,220.72000122070312,0
178,2021-04-13,237.5666656494141,254.106674194336,1
26,2021-04-16,242.88333129882807,246.5933380126953,1
12,2021-04-27,239.32000732421875,234.913330078125,0
172,2021-05-07,221.933334350586,224.1233367919922,1
130,2021-05-12,200.8300018310547,196.6300048828125,0
249,2021-05-17,191.8500061035156,192.27667236328125,1
165,2021-05-18,189.3333282470703,192.6233367919922,1
223,2021-05-24,193.86666870117188,202.14666748046875,1
162,2021-06-16,199.17999267578125,201.6233367919922,1
206,2021-06-28,223.8800048828125,229.5733337402344,1
174,2021-07-12,220.7333374023437,228.5666656494141,1
13,2021-07-15,219.4633331298828,216.86666870117188,0
61,2021-07-19,209.9633331298828,215.4066619873047,1
2,2021-07-23,215.45333862304688,214.4600067138672,0
44,2021-07-26,216.9900054931641,219.2066650390625,1
70,2021-08-06,237.3000030517578,233.0333404541016,0
80,2021-08-09,236.72332763671875,237.9199981689453,1
179,2021-08-17,224.22000122070312,221.90333557128903,0
208,2021-08-19,226.07000732421875,224.4900054931641,0
212,2021-08-23,228.47999572753903,235.433334350586,1
40,2021-08-30,238.2400054931641,243.6366729736328,1
49,2021-09-01,244.69332885742188,244.69667053222656,1
