,Date,Open,Adj Close,Predicted_Label
302,2018-09-24,95.1894989013672,96.71800231933594,1
88,2018-09-27,99.66200256347656,100.64900207519533,1
344,2018-10-08,93.6999969482422,93.22100067138672,0
243,2018-10-16,89.17500305175781,90.9980010986328,1
291,2018-10-24,88.68499755859375,83.20999908447266,0
35,2018-10-26,82.47949981689453,82.1405029296875,0
189,2018-11-06,80.9175033569336,82.1405029296875,1
167,2018-11-07,83.6500015258789,87.77449798583984,1
170,2018-11-16,79.375,79.67050170898438,1
134,2018-11-21,77.14949798583984,75.83650207519531,0
102,2018-11-26,76.94999694824219,79.06649780273438,1
204,2018-12-04,87.80000305175781,83.41999816894531,0
179,2018-12-06,80.74349975585938,84.95950317382812,1
342,2018-12-07,85.25350189208984,81.45649719238281,0
31,2018-12-10,81.19200134277344,82.05149841308594,1
99,2018-12-27,72.70999908447266,73.08200073242188,0
347,2018-12-28,73.6675033569336,73.9010009765625,0
64,2018-12-31,75.54000091552734,75.09850311279297,0
21,2019-01-10,82.05049896240234,82.81099700927734,1
216,2019-01-22,84.05000305175781,81.6084976196289,0
62,2019-01-23,82.80000305175781,82.0009994506836,0
111,2019-01-24,82.05349731445312,82.74649810791016,1
13,2019-02-11,80.04900360107422,79.55000305175781,0
336,2019-02-15,81.39299774169922,80.39749908447266,0
263,2019-02-27,81.40899658203125,82.05449676513672,1
96,2019-03-04,84.25,84.80850219726562,1
221,2019-03-07,83.36849975585938,81.29750061035156,0
124,2019-03-11,81.30599975585938,83.53099822998047,1
320,2019-03-12,83.44999694824219,83.65499877929688,1
165,2019-03-14,84.55999755859375,84.31099700927734,1
130,2019-03-15,85.1500015258789,85.61799621582031,0
98,2019-03-25,87.8895034790039,88.71299743652344,1
226,2019-03-28,88.5,88.6709976196289,0
51,2019-03-29,89.3290023803711,89.0374984741211,0
316,2019-04-03,91.33599853515624,91.03500366210938,0
272,2019-04-08,91.6614990234375,92.49299621582033,1
264,2019-04-09,92.27449798583984,91.79199981689452,0
6,2019-04-16,92.56749725341795,93.1520004272461,1
304,2019-04-17,93.64949798583984,93.24099731445312,0
294,2019-05-08,95.94349670410156,95.88849639892578,1
